id_cliente,cliente,correo,telefono,email_valido,telefono_valido
CL1000,Paola Mendoza,cliente061@empresa.com,73372703,True,True
CL1001,Elena Ramírez,cliente186@outlook.com,75447071,True,True
CL1002,Valeria Martínez,cliente25@outlook.com,76605966,True,True
CL1003,Daniela Rivera,cliente317@correo.sv,73134898,True,True
CL1004,Elena Morales,cliente426@correo.sv,78399637,True,True
CL1007,Marta Hernández,cliente735@empresa.com,72952127,True,True
CL1008,Diego Torres,cliente870@empresa.com,79305719,True,True
CL1009,Daniela Morales,cliente987@gmail.com,79050212,True,True
CL1011,Daniela Santos,cliente117@gmail.com,77253653,True,True
CL1013,Carlos Flores,cliente1367@gmail.com,74871926,True,True
CL1015,Valeria Guerrero,cliente1566@correo.sv,75269728,True,True
CL1017,Paola Torres,cliente179@outlook.com,79842446,True,True
CL1018,Diego López,cliente1824@empresa.com,72547994,True,True
CL1019,Lucía López,cliente1930@empresa.com,72736390,True,True
CL1020,José Flores,cliente2090@correo.sv,71154218,True,True
CL1021,Elena Torres,cliente2195@correo.sv,76817567,True,True
CL1022,María Ramírez,cliente2215@correo.sv,77277810,True,True
CL1023,Daniela Gómez,cliente2310@empresa.com,78553267,True,True
CL1024,Lucía Gómez,cliente2466@correo.sv,78506697,True,True
CL1025,Carlos Mendoza,cliente2514@outlook.com,77499480,True,True
CL1026,Luis Castro,cliente2633@gmail.com,73526332,True,True
CL1028,Lucía Romero,cliente2848@outlook.com,75031104,True,True
CL1029,Carlos Mejía,cliente2925@gmail.com,74010475,True,True
CL1030,Lucía Reyes,cliente309@correo.sv,76575720,True,True
CL1031,Paola Gómez,cliente3183@correo.sv,74472666,True,True
CL1032,Paola Gómez,cliente3294@correo.sv,78602035,True,True
CL1033,Pedro Rivera,cliente3358@gmail.com,73409894,True,True
CL1035,Ricardo López,cliente3513@empresa.com,78185845,True,True
CL1037,Daniela Gómez,cliente3749@empresa.com,77335047,True,True
CL1038,Fernando Rivas,cliente3848@empresa.com,73700897,True,True
CL1039,Elena Torres,cliente399@empresa.com,75334806,True,True
CL1040,Sofía Rivas,cliente4078@outlook.com,77144414,True,True
CL1041,Ana Romero,cliente4116@gmail.com,77635379,True,True
CL1042,Carmen Vásquez,cliente4257@correo.sv,79968734,True,True
CL1044,Sofía Hernández,cliente445@outlook.com,71094953,True,True
CL1045,José Santos,cliente4537@empresa.com,74874835,True,True
CL1046,Lucía Romero,cliente4690@empresa.com,78965446,True,True
CL1047,José Rivas,cliente4720@empresa.com,74782536,True,True
CL1048,Marta Hernández,cliente4878@correo.sv,74851546,True,True
CL1049,Ana Gómez,cliente4947@outlook.com,73596541,True,True
CL1052,Luis Santos,cliente5220@outlook.com,76374111,True,True
CL1055,Paola Morales,cliente5572@outlook.com,76650121,True,True
CL1056,Ana Ramírez,cliente5640@outlook.com,78619124,True,True
CL1057,Marta Rivera,cliente5726@correo.sv,71908598,True,True
CL1058,Carmen Romero,cliente5862@empresa.com,74983480,True,True
CL1059,Carmen Guerrero,cliente5961@correo.sv,71383408,True,True
CL1060,Luis Romero,cliente6060@empresa.com,75354039,True,True
CL1061,Carlos Ramírez,cliente6156@empresa.com,73236003,True,True
CL1063,Paola Vásquez,cliente6360@gmail.com,74059172,True,True
CL1064,Carlos Cruz,cliente6479@empresa.com,79246516,True,True
CL1065,Jorge Flores,cliente6549@outlook.com,74058523,True,True
