id_envio,id_pedido,direccion,fecha_envio,estado_envio
ENV8002,PED7191,"Calle El Mirador, Sonsonate",2024-05-30,devuelto
ENV8004,PED7043,"Calle Principal, San Salvador",2024-01-09,preparando
ENV8005,PED7008,"Pje. Las Flores, Sonsonate",2024-03-03,devuelto
ENV8006,PED7169,"Av. Roosevelt, San Salvador",2024-04-04,devuelto
ENV8007,PED7153,"Calle Principal, Usulután",2024-09-07,devuelto
ENV8014,PED7052,"Calle El Mirador, San Salvador",2024-04-08,preparando
ENV8019,PED7196,"Boulevard Constitución, Sonsonate",2024-12-19,preparando
ENV8020,PED7048,"Av. Roosevelt, La Libertad",2025-06-02,devuelto
ENV8023,PED7204,"Boulevard Constitución, San Salvador",2024-06-28,preparando
ENV8026,PED7096,"Calle El Mirador, San Salvador",2024-07-03,preparando
ENV8029,PED7043,"Calle El Mirador, La Libertad",2025-02-18,devuelto
ENV8031,PED7048,"Calle El Mirador, San Miguel",2024-11-19,preparando
ENV8032,PED7097," Av. Roosevelt, Usulután ",2025-05-25,preparando
ENV8040,PED7126,"Calle Principal, San Miguel",2024-03-20,preparando
ENV8046,PED7074,"Boulevard Constitución, San Miguel",2025-05-28,devuelto
ENV8048,PED7187,"Col. Escalón, Santa Ana",2024-02-08,devuelto
ENV8052,PED7208,"Boulevard Constitución, San Miguel",2024-08-01,devuelto
ENV8054,PED7058,"Av. Roosevelt, Santa Ana",2024-05-05,devuelto
ENV8065,PED7005,"Calle El Mirador, San Miguel",2025-02-28,devuelto
ENV8068,PED7120,"Pje. Las Flores, San Salvador",2024-04-17,preparando
ENV8071,PED7202,"Boulevard Constitución, San Miguel",2024-09-25,preparando
ENV8076,PED7090," Calle Principal, San Salvador ",2025-02-07,devuelto
ENV8081,PED7017,"Av. Roosevelt, San Salvador",2025-05-23,preparando
ENV8082,PED7139,"Calle El Mirador, Sonsonate",2025-02-03,preparando
ENV8083,PED7176,"Col. Escalón, San Salvador",,preparando
ENV8086,PED7020,"Pje. Las Flores, Sonsonate",2025-03-20,devuelto
ENV8087,PED7086,"Av. Roosevelt, San Miguel",2024-04-01,devuelto
ENV8088,PED7206,"Col. Escalón, San Salvador",2025-01-08,devuelto
ENV8090,PED7216,"Av. Roosevelt, Usulután",2024-02-27,devuelto
ENV8091,PED7013,"Calle Principal, Santa Ana",2024-01-08,devuelto
ENV8092,PED7052,"Calle El Mirador, San Miguel",2025-02-22,preparando
ENV8093,PED7066,"Pje. Las Flores, Sonsonate",2024-06-28,preparando
ENV8094,PED7150,"Boulevard Constitución, Usulután",2024-04-15,devuelto
ENV8095,PED7142,"Boulevard Constitución, San Miguel",2024-08-17,preparando
ENV8098,PED7166,"Col. Escalón, San Miguel",2024-10-01,preparando
ENV8099,PED7116,"Calle Principal, San Salvador",2024-06-17,preparando
ENV8102,PED7202,"Calle El Mirador, Usulután",2025-05-05,devuelto
ENV8103,PED7214,"Boulevard Constitución, La Libertad",2024-02-12,preparando
ENV8105,PED7027,"Boulevard Constitución, La Libertad",2024-10-23,devuelto
ENV8106,PED7062,"Calle El Mirador, Santa Ana",2024-10-19,preparando
ENV8107,PED7086,"Calle El Mirador, Sonsonate",2025-02-04,preparando
ENV8110,PED7201,"Col. Escalón, Sonsonate",2024-03-04,preparando
ENV8111,PED7145,"Boulevard Constitución, Sonsonate",,devuelto
ENV8112,PED7186," Calle Principal, Usulután ",2024-03-30,devuelto
ENV8113,PED7051,"Calle Principal, San Miguel",2024-09-24,devuelto
ENV8115,PED7091,"Pje. Las Flores, Sonsonate",2024-08-12,devuelto
ENV8118,PED7107,"Pje. Las Flores, San Salvador",2025-04-17,devuelto
ENV8119,PED7203," Calle El Mirador, La Libertad ",2024-02-17,preparando
ENV8125,PED7136,"Calle El Mirador, San Salvador",2024-10-07,devuelto
ENV8127,PED7024,"Calle Principal, Sonsonate",2024-07-15,devuelto
ENV8128,PED7072,"Av. Roosevelt, San Salvador ",2024-08-10,devuelto
ENV8129,PED7023,"Calle Principal, Sonsonate",2025-04-16,preparando
ENV8130,PED7142,"Calle El Mirador, Santa Ana",2025-02-26,devuelto
ENV8132,PED7145," Col. Escalón, Usulután ",2024-01-22,preparando
ENV8134,PED7008,"Calle Principal, Santa Ana",2024-10-05,preparando
ENV8135,PED7118,"Col. Escalón, Santa Ana",2025-03-03,preparando
ENV8137,PED7091,"Col. Escalón, Usulután",2024-02-25,preparando
ENV8139,PED7138,"Pje. Las Flores, Usulután",2024-10-20,devuelto
ENV8140,PED7174,"Av. Roosevelt, Usulután",2024-02-04,preparando
ENV8142,PED7011,"Col. Escalón, San Miguel",2025-05-09,devuelto
ENV8144,PED7181,"Av. Roosevelt, San Salvador",2025-01-11,devuelto
ENV8150,PED7005,"Av. Roosevelt, La Libertad",2024-04-30,devuelto
ENV8151,PED7212,"Pje. Las Flores, Sonsonate",2024-07-03,preparando
ENV8158,PED7082,"Boulevard Constitución, Santa Ana",2024-10-21,preparando
ENV8159,PED7068,"Av. Roosevelt, La Libertad",2024-08-20,devuelto
ENV8160,PED7113,"Pje. Las Flores, San Salvador",2024-11-29,preparando
ENV8161,PED7014,"Calle El Mirador, La Libertad",2025-05-21,devuelto
ENV8164,PED7191,"Col. Escalón, Usulután ",2025-01-01,preparando
ENV8166,PED7172,"Col. Escalón, Usulután",2025-05-17,devuelto
ENV8168,PED7143,"Pje. Las Flores, San Miguel",2024-04-15,devuelto
ENV8171,PED7110,"Boulevard Constitución, San Miguel",2024-10-27,devuelto
ENV8172,PED7162,"Boulevard Constitución, Usulután",2025-05-22,preparando
ENV8174,PED7053,"Calle Principal, San Miguel",2024-10-09,devuelto
ENV8178,PED7208,"Calle El Mirador, Sonsonate",2024-07-02,devuelto
ENV8180,PED7089,"Calle Principal, San Salvador",2025-01-02,preparando
ENV8181,PED7170,"Pje. Las Flores, Santa Ana",2024-05-29,preparando
ENV8182,PED7022,"Pje. Las Flores, San Miguel ",2025-01-06,devuelto
ENV8183,PED7071,"Av. Roosevelt, Sonsonate",2024-03-13,preparando
ENV8185,PED7210,"Boulevard Constitución, San Salvador",2025-01-01,devuelto
ENV8190,PED7076,"Boulevard Constitución, San Miguel",2024-02-27,devuelto
ENV8191,PED9999,"Av. Roosevelt, La Libertad",2025-03-28,devuelto
ENV8192,PED7196,"Boulevard Constitución, San Salvador",2024-06-29,devuelto
ENV8196,PED7148,"Av. Roosevelt, Usulután",2024-06-14,devuelto
ENV8198,PED7020,"Pje. Las Flores, San Salvador",2024-02-19,devuelto
ENV8199,PED7026,"Calle Principal, Sonsonate",2024-01-07,devuelto
ENV8200,PED7159,"Boulevard Constitución, Santa Ana",2024-06-12,devuelto
ENV8202,PED7122,"Calle Principal, Santa Ana",2024-09-10,devuelto
ENV8203,PED7120,"Boulevard Constitución, La Libertad",2024-12-14,devuelto
ENV8206,PED7192,"Av. Roosevelt, La Libertad",2025-05-06,preparando
ENV8208,PED7157,"Col. Escalón, Usulután",2024-12-21,preparando
ENV8019,PED7196,"Boulevard Constitución, Sonsonate",2024-12-19,preparando
ENV8166,PED7172,"Col. Escalón, Usulután",2025-05-17,devuelto
ENV8115,PED7091,"Pje. Las Flores, Sonsonate",2024-08-12,devuelto
